Namespace(active_connection=10, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=1, feat_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[80, 10], knn_graph_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random/knn_index_200.npy', label_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_label_celeb_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3', loss='normal', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0.0, seed=1, weight_decay=0.0001, workers=0)
log dir:   params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3
Current lr 0.01
Epoch:[0][520/3880]	Time 0.616 (0.596)	Data 0.572 (0.503)	Loss 0.299 (0.453)	Accuracy 0.860 (0.792)	Precison 0.790 (0.827)	Recall 0.985 (0.879)
Epoch:[0][540/3880]	Time 0.524 (0.595)	Data 0.431 (0.502)	Loss 0.269 (0.448)	Accuracy 0.895 (0.794)	Precison 0.866 (0.828)	Recall 0.986 (0.881)
Epoch:[0][560/3880]	Time 0.577 (0.595)	Data 0.427 (0.501)	Loss 0.230 (0.450)	Accuracy 0.950 (0.794)	Precison 0.995 (0.830)	Recall 0.939 (0.880)
Epoch:[0][580/3880]	Time 0.733 (0.594)	Data 0.676 (0.501)	Loss 0.319 (0.444)	Accuracy 0.850 (0.798)	Precison 0.728 (0.831)	Recall 0.984 (0.883)
Epoch:[0][600/3880]	Time 0.562 (0.594)	Data 0.475 (0.500)	Loss 0.211 (0.438)	Accuracy 0.911 (0.801)	Precison 0.866 (0.834)	Recall 0.977 (0.885)
Epoch:[0][620/3880]	Time 0.577 (0.593)	Data 0.500 (0.500)	Loss 0.219 (0.432)	Accuracy 0.916 (0.804)	Precison 0.880 (0.837)	Recall 0.988 (0.886)
Epoch:[0][640/3880]	Time 0.613 (0.594)	Data 0.443 (0.500)	Loss 0.417 (0.429)	Accuracy 0.846 (0.806)	Precison 0.992 (0.837)	Recall 0.761 (0.888)
Epoch:[0][660/3880]	Time 0.446 (0.593)	Data 0.398 (0.499)	Loss 0.167 (0.424)	Accuracy 0.944 (0.809)	Precison 0.998 (0.839)	Recall 0.928 (0.889)
Epoch:[0][680/3880]	Time 0.586 (0.592)	Data 0.506 (0.499)	Loss 0.239 (0.419)	Accuracy 0.882 (0.812)	Precison 0.857 (0.842)	Recall 0.997 (0.891)
Epoch:[0][700/3880]	Time 0.592 (0.593)	Data 0.505 (0.499)	Loss 0.245 (0.416)	Accuracy 0.877 (0.813)	Precison 0.882 (0.843)	Recall 0.929 (0.891)
Epoch:[0][720/3880]	Time 0.633 (0.593)	Data 0.444 (0.499)	Loss 0.300 (0.413)	Accuracy 0.889 (0.815)	Precison 0.856 (0.844)	Recall 0.990 (0.893)
Epoch:[0][740/3880]	Time 0.572 (0.593)	Data 0.486 (0.499)	Loss 0.134 (0.407)	Accuracy 0.951 (0.818)	Precison 0.931 (0.846)	Recall 0.988 (0.895)
Epoch:[0][760/3880]	Time 0.403 (0.592)	Data 0.321 (0.498)	Loss 0.425 (0.404)	Accuracy 0.851 (0.820)	Precison 0.999 (0.847)	Recall 0.831 (0.896)
Epoch:[0][780/3880]	Time 0.580 (0.592)	Data 0.513 (0.498)	Loss 0.126 (0.399)	Accuracy 0.970 (0.822)	Precison 0.964 (0.849)	Recall 0.984 (0.897)
Epoch:[0][800/3880]	Time 0.564 (0.592)	Data 0.480 (0.498)	Loss 0.072 (0.394)	Accuracy 0.984 (0.825)	Precison 0.987 (0.851)	Recall 0.991 (0.898)
Epoch:[0][820/3880]	Time 0.639 (0.592)	Data 0.462 (0.497)	Loss 0.150 (0.390)	Accuracy 0.955 (0.827)	Precison 0.995 (0.853)	Recall 0.933 (0.900)
Epoch:[0][840/3880]	Time 0.692 (0.592)	Data 0.505 (0.497)	Loss 0.164 (0.388)	Accuracy 0.916 (0.828)	Precison 0.882 (0.854)	Recall 0.986 (0.900)
Epoch:[0][860/3880]	Time 0.586 (0.591)	Data 0.504 (0.497)	Loss 0.288 (0.384)	Accuracy 0.888 (0.830)	Precison 0.831 (0.855)	Recall 0.980 (0.901)
Epoch:[0][880/3880]	Time 0.490 (0.591)	Data 0.403 (0.497)	Loss 0.087 (0.381)	Accuracy 0.985 (0.831)	Precison 0.992 (0.855)	Recall 0.989 (0.902)
Epoch:[0][900/3880]	Time 0.553 (0.590)	Data 0.372 (0.496)	Loss 0.391 (0.378)	Accuracy 0.800 (0.833)	Precison 0.763 (0.857)	Recall 0.994 (0.903)
Epoch:[0][920/3880]	Time 0.657 (0.590)	Data 0.604 (0.496)	Loss 0.131 (0.376)	Accuracy 0.967 (0.834)	Precison 0.960 (0.857)	Recall 0.977 (0.904)
Epoch:[0][940/3880]	Time 0.456 (0.590)	Data 0.408 (0.496)	Loss 0.175 (0.372)	Accuracy 0.951 (0.837)	Precison 0.993 (0.859)	Recall 0.941 (0.905)
Epoch:[0][960/3880]	Time 0.630 (0.591)	Data 0.452 (0.496)	Loss 0.068 (0.368)	Accuracy 0.986 (0.839)	Precison 0.989 (0.861)	Recall 0.989 (0.906)
Epoch:[0][980/3880]	Time 0.584 (0.591)	Data 0.539 (0.497)	Loss 0.186 (0.365)	Accuracy 0.925 (0.840)	Precison 0.927 (0.862)	Recall 0.940 (0.907)
Epoch:[0][1000/3880]	Time 0.560 (0.590)	Data 0.473 (0.496)	Loss 0.139 (0.361)	Accuracy 0.970 (0.842)	Precison 0.995 (0.863)	Recall 0.962 (0.908)
Epoch:[0][1020/3880]	Time 0.652 (0.590)	Data 0.585 (0.496)	Loss 0.143 (0.358)	Accuracy 0.956 (0.844)	Precison 0.922 (0.865)	Recall 0.970 (0.909)
Epoch:[0][1040/3880]	Time 0.647 (0.589)	Data 0.465 (0.495)	Loss 0.127 (0.354)	Accuracy 0.963 (0.846)	Precison 0.950 (0.866)	Recall 0.980 (0.910)
Epoch:[0][1060/3880]	Time 0.608 (0.590)	Data 0.563 (0.496)	Loss 0.252 (0.351)	Accuracy 0.887 (0.847)	Precison 0.837 (0.867)	Recall 0.968 (0.911)
Epoch:[0][1080/3880]	Time 0.531 (0.590)	Data 0.485 (0.496)	Loss 0.210 (0.348)	Accuracy 0.918 (0.849)	Precison 0.996 (0.868)	Recall 0.874 (0.911)
Epoch:[0][1100/3880]	Time 0.606 (0.590)	Data 0.510 (0.497)	Loss 0.157 (0.345)	Accuracy 0.941 (0.850)	Precison 0.911 (0.869)	Recall 0.980 (0.912)
Epoch:[0][1120/3880]	Time 0.489 (0.591)	Data 0.422 (0.497)	Loss 0.103 (0.343)	Accuracy 0.970 (0.852)	Precison 0.990 (0.870)	Recall 0.966 (0.913)
Epoch:[0][1140/3880]	Time 0.679 (0.591)	Data 0.491 (0.497)	Loss 0.136 (0.340)	Accuracy 0.947 (0.853)	Precison 0.930 (0.871)	Recall 0.991 (0.913)
Epoch:[0][1160/3880]	Time 0.604 (0.590)	Data 0.564 (0.497)	Loss 0.092 (0.338)	Accuracy 0.970 (0.854)	Precison 0.963 (0.872)	Recall 0.991 (0.914)
Epoch:[0][1180/3880]	Time 0.575 (0.590)	Data 0.519 (0.497)	Loss 0.080 (0.335)	Accuracy 0.979 (0.856)	Precison 0.978 (0.873)	Recall 0.989 (0.915)
Epoch:[0][1200/3880]	Time 0.669 (0.590)	Data 0.478 (0.497)	Loss 0.070 (0.332)	Accuracy 0.989 (0.857)	Precison 0.996 (0.874)	Recall 0.986 (0.916)
Epoch:[0][1220/3880]	Time 0.597 (0.590)	Data 0.521 (0.497)	Loss 0.090 (0.329)	Accuracy 0.974 (0.858)	Precison 0.969 (0.876)	Recall 0.986 (0.916)
Epoch:[0][1240/3880]	Time 0.612 (0.590)	Data 0.552 (0.496)	Loss 0.198 (0.327)	Accuracy 0.900 (0.860)	Precison 0.830 (0.877)	Recall 0.977 (0.917)
Epoch:[0][1260/3880]	Time 0.608 (0.590)	Data 0.521 (0.496)	Loss 0.195 (0.324)	Accuracy 0.916 (0.861)	Precison 0.938 (0.877)	Recall 0.910 (0.918)
