Namespace(active_connection=5, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=10, feat_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[5, 5], knn_graph_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random/knn_index_20.npy', label_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_label_deepfashion_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3', loss='FL1', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0, seed=1, weight_decay=0.0001, workers=1)
log dir:   params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3
Current lr 0.01
Epoch:[0][520/1012]	Time 0.016 (0.020)	Data 0.006 (0.009)	Loss 0.139 (0.138)	Accuracy 0.463 (0.465)	Precison 0.356 (0.419)	Recall 0.808 (0.952)
Epoch:[0][540/1012]	Time 0.017 (0.020)	Data 0.007 (0.008)	Loss 0.136 (0.138)	Accuracy 0.350 (0.466)	Precison 0.342 (0.420)	Recall 1.000 (0.951)
Epoch:[0][560/1012]	Time 0.017 (0.020)	Data 0.007 (0.008)	Loss 0.141 (0.138)	Accuracy 0.512 (0.469)	Precison 0.477 (0.422)	Recall 0.861 (0.950)
Epoch:[0][580/1012]	Time 0.015 (0.020)	Data 0.006 (0.008)	Loss 0.128 (0.138)	Accuracy 0.450 (0.471)	Precison 0.403 (0.423)	Recall 0.967 (0.950)
Epoch:[0][600/1012]	Time 0.014 (0.020)	Data 0.004 (0.008)	Loss 0.120 (0.137)	Accuracy 0.588 (0.474)	Precison 0.559 (0.425)	Recall 0.927 (0.949)
Epoch:[0][620/1012]	Time 0.021 (0.020)	Data 0.008 (0.008)	Loss 0.121 (0.137)	Accuracy 0.625 (0.477)	Precison 0.509 (0.427)	Recall 0.935 (0.948)
Epoch:[0][640/1012]	Time 0.017 (0.020)	Data 0.007 (0.008)	Loss 0.123 (0.137)	Accuracy 0.650 (0.479)	Precison 0.571 (0.429)	Recall 0.973 (0.948)
Epoch:[0][660/1012]	Time 0.010 (0.019)	Data 0.000 (0.008)	Loss 0.140 (0.136)	Accuracy 0.475 (0.483)	Precison 0.373 (0.431)	Recall 0.815 (0.948)
Epoch:[0][680/1012]	Time 0.019 (0.019)	Data 0.009 (0.008)	Loss 0.125 (0.136)	Accuracy 0.475 (0.486)	Precison 0.408 (0.433)	Recall 1.000 (0.946)
Epoch:[0][700/1012]	Time 0.016 (0.019)	Data 0.007 (0.008)	Loss 0.138 (0.136)	Accuracy 0.350 (0.489)	Precison 0.329 (0.435)	Recall 0.962 (0.945)
Epoch:[0][720/1012]	Time 0.018 (0.019)	Data 0.008 (0.008)	Loss 0.123 (0.135)	Accuracy 0.475 (0.491)	Precison 0.431 (0.436)	Recall 0.969 (0.944)
Epoch:[0][740/1012]	Time 0.028 (0.019)	Data 0.000 (0.008)	Loss 0.120 (0.135)	Accuracy 0.738 (0.494)	Precison 0.657 (0.438)	Recall 0.719 (0.942)
Epoch:[0][760/1012]	Time 0.018 (0.019)	Data 0.007 (0.008)	Loss 0.126 (0.135)	Accuracy 0.575 (0.496)	Precison 0.400 (0.439)	Recall 0.833 (0.941)
Epoch:[0][780/1012]	Time 0.016 (0.019)	Data 0.007 (0.008)	Loss 0.127 (0.135)	Accuracy 0.412 (0.498)	Precison 0.338 (0.441)	Recall 0.920 (0.940)
Epoch:[0][800/1012]	Time 0.016 (0.019)	Data 0.007 (0.008)	Loss 0.125 (0.134)	Accuracy 0.525 (0.500)	Precison 0.486 (0.442)	Recall 0.972 (0.940)
Epoch:[0][820/1012]	Time 0.019 (0.019)	Data 0.007 (0.008)	Loss 0.120 (0.134)	Accuracy 0.700 (0.502)	Precison 0.627 (0.443)	Recall 0.949 (0.939)
Epoch:[0][840/1012]	Time 0.017 (0.019)	Data 0.007 (0.008)	Loss 0.127 (0.134)	Accuracy 0.700 (0.505)	Precison 0.643 (0.445)	Recall 0.900 (0.938)
Epoch:[0][860/1012]	Time 0.018 (0.019)	Data 0.007 (0.008)	Loss 0.125 (0.134)	Accuracy 0.637 (0.507)	Precison 0.591 (0.447)	Recall 0.951 (0.938)
Epoch:[0][880/1012]	Time 0.022 (0.019)	Data 0.009 (0.008)	Loss 0.124 (0.134)	Accuracy 0.700 (0.508)	Precison 0.553 (0.448)	Recall 0.750 (0.937)
Epoch:[0][900/1012]	Time 0.015 (0.019)	Data 0.005 (0.008)	Loss 0.140 (0.133)	Accuracy 0.675 (0.510)	Precison 0.667 (0.449)	Recall 0.818 (0.937)
Epoch:[0][920/1012]	Time 0.018 (0.019)	Data 0.009 (0.008)	Loss 0.116 (0.133)	Accuracy 0.613 (0.512)	Precison 0.548 (0.450)	Recall 0.919 (0.935)
Epoch:[0][940/1012]	Time 0.015 (0.019)	Data 0.005 (0.008)	Loss 0.120 (0.133)	Accuracy 0.675 (0.514)	Precison 0.636 (0.451)	Recall 0.854 (0.935)
Epoch:[0][960/1012]	Time 0.017 (0.019)	Data 0.007 (0.008)	Loss 0.119 (0.133)	Accuracy 0.625 (0.515)	Precison 0.469 (0.452)	Recall 0.852 (0.933)
Epoch:[0][980/1012]	Time 0.017 (0.019)	Data 0.007 (0.008)	Loss 0.123 (0.133)	Accuracy 0.550 (0.517)	Precison 0.411 (0.453)	Recall 0.885 (0.933)
Epoch:[0][1000/1012]	Time 0.014 (0.019)	Data 0.005 (0.008)	Loss 0.111 (0.132)	Accuracy 0.713 (0.519)	Precison 0.630 (0.455)	Recall 0.919 (0.932)
Current lr 0.01
Change lr to 0.001
Epoch:[1][0/1012]	Time 0.695 (0.695)	Data 0.676 (0.676)	Loss 0.102 (0.102)	Accuracy 0.663 (0.663)	Precison 0.609 (0.609)	Recall 1.000 (1.000)
Epoch:[1][20/1012]	Time 0.014 (0.048)	Data 0.000 (0.033)	Loss 0.133 (0.116)	Accuracy 0.550 (0.570)	Precison 0.492 (0.494)	Recall 0.829 (0.965)
Epoch:[1][40/1012]	Time 0.014 (0.033)	Data 0.005 (0.020)	Loss 0.128 (0.118)	Accuracy 0.600 (0.602)	Precison 0.500 (0.513)	Recall 0.812 (0.927)
Epoch:[1][60/1012]	Time 0.014 (0.027)	Data 0.004 (0.015)	Loss 0.120 (0.119)	Accuracy 0.512 (0.602)	Precison 0.417 (0.505)	Recall 0.862 (0.917)
Epoch:[1][80/1012]	Time 0.017 (0.025)	Data 0.006 (0.013)	Loss 0.119 (0.120)	Accuracy 0.538 (0.604)	Precison 0.431 (0.505)	Recall 0.862 (0.912)
Epoch:[1][100/1012]	Time 0.018 (0.023)	Data 0.007 (0.012)	Loss 0.132 (0.121)	Accuracy 0.613 (0.609)	Precison 0.579 (0.511)	Recall 0.825 (0.908)
Epoch:[1][120/1012]	Time 0.014 (0.022)	Data 0.005 (0.011)	Loss 0.135 (0.121)	Accuracy 0.650 (0.605)	Precison 0.607 (0.508)	Recall 0.850 (0.910)
Epoch:[1][140/1012]	Time 0.014 (0.021)	Data 0.001 (0.010)	Loss 0.130 (0.121)	Accuracy 0.625 (0.609)	Precison 0.571 (0.511)	Recall 0.842 (0.910)
Epoch:[1][160/1012]	Time 0.016 (0.021)	Data 0.007 (0.010)	Loss 0.116 (0.121)	Accuracy 0.488 (0.607)	Precison 0.365 (0.508)	Recall 0.958 (0.910)
Epoch:[1][180/1012]	Time 0.017 (0.020)	Data 0.006 (0.009)	Loss 0.134 (0.120)	Accuracy 0.588 (0.610)	Precison 0.508 (0.510)	Recall 0.882 (0.908)
Epoch:[1][200/1012]	Time 0.027 (0.020)	Data 0.009 (0.009)	Loss 0.118 (0.120)	Accuracy 0.625 (0.615)	Precison 0.509 (0.515)	Recall 0.903 (0.907)
Epoch:[1][220/1012]	Time 0.010 (0.020)	Data 0.000 (0.009)	Loss 0.121 (0.120)	Accuracy 0.613 (0.616)	Precison 0.491 (0.516)	Recall 0.867 (0.907)
Epoch:[1][240/1012]	Time 0.015 (0.019)	Data 0.006 (0.009)	Loss 0.116 (0.120)	Accuracy 0.688 (0.614)	Precison 0.523 (0.512)	Recall 0.852 (0.908)
Epoch:[1][260/1012]	Time 0.019 (0.019)	Data 0.009 (0.009)	Loss 0.127 (0.120)	Accuracy 0.625 (0.617)	Precison 0.509 (0.514)	Recall 0.871 (0.905)
Epoch:[1][280/1012]	Time 0.019 (0.019)	Data 0.008 (0.008)	Loss 0.101 (0.120)	Accuracy 0.600 (0.616)	Precison 0.458 (0.513)	Recall 1.000 (0.904)
Epoch:[1][300/1012]	Time 0.019 (0.019)	Data 0.009 (0.008)	Loss 0.126 (0.120)	Accuracy 0.675 (0.616)	Precison 0.571 (0.512)	Recall 0.848 (0.903)
Epoch:[1][320/1012]	Time 0.017 (0.019)	Data 0.007 (0.008)	Loss 0.131 (0.120)	Accuracy 0.562 (0.617)	Precison 0.409 (0.513)	Recall 0.667 (0.902)
Epoch:[1][340/1012]	Time 0.017 (0.019)	Data 0.006 (0.008)	Loss 0.108 (0.120)	Accuracy 0.650 (0.618)	Precison 0.481 (0.512)	Recall 0.962 (0.901)
Epoch:[1][360/1012]	Time 0.022 (0.019)	Data 0.009 (0.008)	Loss 0.106 (0.120)	Accuracy 0.700 (0.619)	Precison 0.571 (0.512)	Recall 1.000 (0.899)
Epoch:[1][380/1012]	Time 0.017 (0.018)	Data 0.007 (0.008)	Loss 0.115 (0.120)	Accuracy 0.600 (0.619)	Precison 0.509 (0.513)	Recall 0.879 (0.899)
